Grad,Deo_Grada,Ulica,Cena_EUR,Kvadratura_m2,Cena_po_m2,Naslov,Link,Lokacija_Osnovna
Beograd,Ovča,Ovčanski put,83477,42.0,1987.55,O-distrikt novo mesto za život ID#13906,https://www.nekretnine.rs/stambeni-objekti/stanovi/o-distrikt-novo-mesto-za-zivot-id13906/Nkte_lM12aV/,"Ovča, Beograd, Srbija"
Beograd,Borča I,Ovčanski put,91832,46.0,1996.35,O-distrikt novo mesto za život ID#1397811,https://www.nekretnine.rs/stambeni-objekti/stanovi/o-distrikt-novo-mesto-za-zivot-id1397811/NkccVngbZUY/,"Borča I, Beograd, Srbija"
Beograd,Borča I,Ovčanski put,110563,56.0,1974.34,O-distrikt novo mesto za život ID#1394511,https://www.nekretnine.rs/stambeni-objekti/stanovi/o-distrikt-novo-mesto-za-zivot-id1394511/Nk0LsWB7STs/,"Borča I, Beograd, Srbija"
Beograd,Čubura,Cara Nikolaja II,250000,59.0,4237.29,"Odlična lokacija, mereno 61m2 ID#14009",https://www.nekretnine.rs/stambeni-objekti/stanovi/odlicna-lokacija-mereno-61m2-id14009/NkuBSBGhyXt/,"Čubura, Beograd, Srbija"
Beograd,Borča I,Ovčanski put,62905,32.0,1965.78,O-distrikt novo mesto za život ID#1396111,https://www.nekretnine.rs/stambeni-objekti/stanovi/o-distrikt-novo-mesto-za-zivot-id1396111/Nk24XUYt62F/,"Borča I, Beograd, Srbija"
Beograd,Ovča,Ovčanski put,62905,32.0,1965.78,O-distrikt novo mesto za život ID#13961,https://www.nekretnine.rs/stambeni-objekti/stanovi/o-distrikt-novo-mesto-za-zivot-id13961/Nk9_ymGf3p4/,"Ovča, Beograd, Srbija"
Beograd,Ovča,Ovčanski put,71834,36.0,1995.39,O-distrikt novo mesto za život ID#13953,https://www.nekretnine.rs/stambeni-objekti/stanovi/o-distrikt-novo-mesto-za-zivot-id13953/NkC6KbEGCB5/,"Ovča, Beograd, Srbija"
Zlatibor,Viogorska,N/A,45000,30.0,1500.0,"Zlatibor, 30m2, kompletno namešten ID#13506",https://www.nekretnine.rs/stambeni-objekti/stanovi/zlatibor-30m2-kompletno-namesten-id13506/NkGm8tBfJzN/,"Zlatibor, Srbija"
Beograd,Voždovac,Generala Đoke Popovića,91125,36.45,2500.0,Direktna prodaja-Luksuzna novogradnja ID#13386,https://www.nekretnine.rs/stambeni-objekti/stanovi/direktna-prodaja-luksuzna-novogradnja-id13386/Nke07m9l9v9/,"Voždovac, Beograd, Srbija"
Beograd,Petlovo brdo,Mrakovička,89000,45.0,1977.78,1.0 stan na Petlovom brdu ID#13356,https://www.nekretnine.rs/stambeni-objekti/stanovi/10-stan-na-petlovom-brdu-id13356/NksTroC2EOm/,"Petlovo brdo, Beograd, Srbija"
Beograd,Karaburma,Dr Nika Miljanića,278000,110.0,2527.27,Impresivan šestosoban dupleks ID#13324,https://www.nekretnine.rs/stambeni-objekti/stanovi/impresivan-sestosoban-dupleks-id13324/Nk9t2q5YqNv/,"Karaburma, Beograd, Srbija"
Beograd,Mirijevo I,Ivana Sarića,249900,94.0,2658.51,"Mirijevo 4, uknjižen 4.5 stan ID#11770",https://www.nekretnine.rs/stambeni-objekti/stanovi/mirijevo-4-uknjizen-45-stan-id11770/NkcAbIdja0-/,"Mirijevo I, Beograd, Srbija"
Beograd,Braće Jerković,Braće Jerković,119900,41.0,2924.39,"Braće Jerkovića, mereno 49m2 ID#11583",https://www.nekretnine.rs/stambeni-objekti/stanovi/brace-jerkovica-mereno-49m2-id11583/Nk5OQ89qXTB/,"Braće Jerković, Beograd, Srbija"
Beograd,Centar (uži),Svetogorska,380000,104.0,3653.85,"Atelje 212, uknjižen salonac, adaptibilan u 2 stambene jedinice ID#10991",https://www.nekretnine.rs/stambeni-objekti/stanovi/atelje-212-uknjizen-salonac-adaptibilan-u-2-stambene-jedinice-id10991/NkUgEi9Z7nS/,"Centar (uži), Beograd, Srbija"
Beograd,Novi Beograd Blok 44 (Piramida),Nehruova,450000,200.0,2250.0,"Blok 44, duplex, mereno 200m2 ID#10968",https://www.nekretnine.rs/stambeni-objekti/stanovi/blok-44-duplex-mereno-200m2-id10968/NkhEruALVGO/,"Novi Beograd Blok 44 (Piramida), Beograd, Srbija"
Beograd,Golf naselje,Blagoja Parovića,289900,103.0,2814.56,"103 m2, 4.5, Duplex, Golf, Banovo brdo ID#10821",https://www.nekretnine.rs/stambeni-objekti/stanovi/103-m2-45-duplex-golf-banovo-brdo-id10821/Nkz9jsg-Rjp/,"Golf naselje, Beograd, Srbija"
Beograd,Autokomanda,Danijelova 10,257000,78.0,3294.87,* ALTERRA VERSA - SMART HOME! * 78 m2,https://www.nekretnine.rs/stambeni-objekti/stanovi/-alterra-versa-smart-home--78-m2/NkwupPsE2tD/,"Autokomanda, Beograd, Srbija"
Beograd,Mirijevo I,Ljubiše Miodragovića,89000,32.0,2781.25,"Mirijevo, renoviran 1.0, fasadna cigla, opremljen ID#10382",https://www.nekretnine.rs/stambeni-objekti/stanovi/mirijevo-renoviran-10-fasadna-cigla-opremljen-id10382/Nkzz67sCnf3/,"Mirijevo I, Beograd, Srbija"
Beograd,Mirijevo I,Podmorničara Đorđa Mitrovića,125000,51.0,2450.98,"Zvezdara, Mirijevo, Podmorničara Đorđa Mitrovića, 2.0, 51m2, 125000EUR",https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-mirijevo-podmornicara-dorda-mitrovica-20-51m2-125000eur/NkuVSAe3yrd/,"Mirijevo I, Beograd, Srbija"
Beograd,Zemun (Centar),N/A,180000,65.0,2769.23,"Zemun, centar dvosoban stan 65m2 ID#4808",https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-centar-dvosoban-stan-65m2-id4808/Nk4R2SR9p0V/,"Zemun (Centar), Beograd, Srbija"
Beograd,Zemun (Zemunske kapije),Šumadijska,285000,91.0,3131.87,"Zemunske kapije, trosoban duplex 91m2 ID#4885",https://www.nekretnine.rs/stambeni-objekti/stanovi/zemunske-kapije-trosoban-duplex-91m2-id4885/NkhGTSSfa0u/,"Zemun (Zemunske kapije), Beograd, Srbija"
Beograd,Novi Beograd Blok 65,N/A,675000,124.0,5443.55,"EKSKLUZIVNA PONUDA, WEST 65 kula 124m2, lux četvorosoban stan ID#4907",https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivna-ponuda-west-65-kula-124m2-lux-cetvorosoban-stan-id4907/NkliKIP9JDT/,"Novi Beograd Blok 65, Beograd, Srbija"
Stara Pazova,Centar,N/A,130000,95.0,1368.42,Stara Pazova 95m2 četvorosoban stan u novogradnji ID#3516,https://www.nekretnine.rs/stambeni-objekti/stanovi/stara-pazova-95m2-cetvorosoban-stan-u-novogradnji-id3516/NkmEAac3aiB/,"Centar, Stara Pazova, Srbija"
Beograd,Vračar (Centar),N/A,894000,149.0,6000.0,Vrhunska novogradnja na Vračaru 149m2 ID#3748,https://www.nekretnine.rs/stambeni-objekti/stanovi/vrhunska-novogradnja-na-vracaru-149m2-id3748/NkHAvvSfFym/,"Vračar (Centar), Beograd, Srbija"
